Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,896.049988,900.700012,891.150024,896.900024,896.900024,8097552
2022-10-19,900.049988,900.650024,885.549988,892.099976,892.099976,5529462
2022-10-20,889.700012,893.299988,880.099976,888.650024,888.650024,8107159
2022-10-21,888.000000,910.000000,885.700012,907.150024,907.150024,17022807
2022-10-24,925.000000,933.500000,917.599976,926.299988,926.299988,4390050
2022-10-25,942.049988,943.250000,922.950012,925.049988,925.049988,15838120
2022-10-27,926.049988,933.700012,920.250000,924.400024,924.400024,16080842
2022-10-28,918.000000,927.500000,901.000000,907.849976,907.849976,9854094
2022-10-31,912.599976,917.049988,904.599976,908.700012,908.700012,9000840
2022-11-01,921.000000,921.000000,899.549988,908.599976,908.599976,9823761
2022-11-02,920.599976,920.750000,902.349976,904.700012,904.700012,7690974
2022-11-03,901.049988,913.849976,897.049988,908.650024,908.650024,9022366
2022-11-04,906.299988,913.400024,900.200012,905.299988,905.299988,7099336
2022-11-07,910.250000,920.099976,903.450012,917.500000,917.500000,11100219
2022-11-09,920.000000,921.900024,905.750000,910.500000,910.500000,11590409
2022-11-10,907.549988,912.950012,903.950012,910.700012,910.700012,10009741
2022-11-11,925.900024,928.000000,903.500000,906.549988,906.549988,17921457
2022-11-14,905.000000,906.549988,891.250000,894.950012,894.950012,12641308
2022-11-15,900.549988,913.650024,898.799988,911.700012,911.700012,15176911
2022-11-16,912.549988,918.099976,908.099976,913.599976,913.599976,13008311
2022-11-17,913.000000,922.299988,910.349976,919.799988,919.799988,12584194
2022-11-18,919.799988,922.000000,910.549988,920.349976,920.349976,10874061
2022-11-21,914.049988,924.799988,914.049988,921.400024,921.400024,9245704
2022-11-22,923.750000,926.500000,920.400024,923.700012,923.700012,11256509
2022-11-23,927.000000,931.849976,923.700012,927.450012,927.450012,10959704
2022-11-24,927.549988,940.650024,927.549988,938.849976,938.849976,10844395
2022-11-25,940.299988,942.900024,927.500000,930.299988,930.299988,9815055
2022-11-28,924.000000,943.799988,923.950012,937.400024,937.400024,9381474
2022-11-29,933.549988,949.900024,933.549988,946.750000,946.750000,13096845
2022-11-30,948.049988,958.200012,941.000000,952.900024,952.900024,20858573
2022-12-01,956.000000,957.000000,936.250000,940.200012,940.200012,15920653
2022-12-02,928.250000,934.500000,926.099976,930.599976,930.599976,14228874
2022-12-05,937.000000,937.000000,928.400024,933.599976,933.599976,10984608
2022-12-06,925.000000,929.750000,920.200012,922.650024,922.650024,18220912
2022-12-07,922.000000,933.200012,920.650024,922.150024,922.150024,15675663
2022-12-08,925.000000,933.549988,923.799988,931.900024,931.900024,10136870
2022-12-09,932.000000,934.799988,925.049988,929.900024,929.900024,9575331
2022-12-12,925.049988,933.900024,925.049988,930.299988,930.299988,8493863
2022-12-13,929.500000,935.900024,927.799988,932.950012,932.950012,10415140
2022-12-14,936.000000,936.049988,920.000000,921.750000,921.750000,12319827
2022-12-15,916.000000,919.900024,905.000000,908.799988,908.799988,8929748
2022-12-16,905.500000,913.700012,899.650024,902.000000,902.000000,9157260
2022-12-19,908.000000,910.599976,901.150024,906.450012,906.450012,7015083
2022-12-20,906.000000,912.450012,895.700012,909.700012,909.700012,6384331
2022-12-21,910.250000,915.849976,887.000000,892.250000,892.250000,11341147
2022-12-22,900.500000,903.849976,886.349976,890.650024,890.650024,9788367
2022-12-23,883.049988,889.650024,875.299988,878.900024,878.900024,11059215
2022-12-26,881.099976,897.000000,875.250000,893.200012,893.200012,6943159
2022-12-27,897.700012,902.750000,888.200012,900.650024,900.650024,4994381
2022-12-28,896.000000,903.950012,895.799988,898.950012,898.950012,8980300
2022-12-29,897.900024,923.349976,889.349976,908.049988,908.049988,11994220
2022-12-30,908.500000,908.500000,888.549988,890.849976,890.849976,9688527
2023-01-02,894.000000,907.000000,894.000000,902.450012,902.450012,4315403
2023-01-03,898.500000,905.950012,896.750000,901.349976,901.349976,5846855
2023-01-04,899.000000,907.900024,894.799988,899.099976,899.099976,12454582
2023-01-05,900.900024,903.000000,872.000000,879.150024,879.150024,16547196
2023-01-06,878.950012,878.950012,860.500000,870.099976,870.099976,14804613
2023-01-09,874.250000,878.750000,862.299988,873.349976,873.349976,16811853
2023-01-10,875.400024,878.400024,856.599976,861.349976,861.349976,13470142
2023-01-11,862.900024,870.849976,854.849976,866.299988,866.299988,15558460
2023-01-12,865.500000,869.349976,854.950012,860.650024,860.650024,16659001
2023-01-13,864.700012,874.900024,858.299988,873.450012,873.450012,11223103
2023-01-16,877.250000,877.450012,861.049988,865.250000,865.250000,8319812
2023-01-17,866.950012,867.950012,858.099976,865.150024,865.150024,12624859
2023-01-18,864.450012,872.000000,858.650024,869.500000,869.500000,11313898
2023-01-19,868.000000,870.549988,862.000000,866.150024,866.150024,6694679
2023-01-20,873.500000,876.500000,865.549988,870.349976,870.349976,8127162
2023-01-23,882.000000,883.299988,864.599976,871.700012,871.700012,16882379
2023-01-24,879.000000,881.700012,868.000000,870.750000,870.750000,11504090
